Run,Light_Level,Light_Value,Date,Start.time,Stop.time,Light_Percent
1,0,0,20230921,12:28,12:42,0
1,1,34,20230921,12:43,13:02,5
1,2,121,20230921,13:04,13:13,10
1,3,315,20230921,13:15,13:26,20
1,4,492,20230921,13:28,13:40,30
1,5,638,20230921,13:41,13:51,40
1,6,948,20230921,13:52,14:02,60
1,7,1048,20230921,14:04,14:14,70
1,8,1192,20230921,14:16,14:26,80
1,9,1378,20230921,14:27,14:38,100
1,10,1409,20230921,14:40,14:47,120
2,0,0,20230922,9:48,9:59,0
2,1,34,20230922,10:02,10:14,5
2,2,121,20230922,10:16,10:26,10
2,3,315,20230922,10:28,10:38,20
2,4,492,20230922,10:40,10:50,30
2,5,638,20230922,10:52,11:02,40
2,6,948,20230922,11:05,11:15,60
2,7,1048,20230922,11:17,11:27,70
2,8,1192,20230922,11:29,11:40,80
2,9,1378,20230922,11:42,11:52,100
3,0,0,20230922,12:46,12:56,0
3,1,34,20230922,12:58,13:11,5
3,2,121,20230922,13:13,13:23,10
3,3,315,20230922,13:25,13:35,20
3,4,492,20230922,13:37,13:47,30
3,5,638,20230922,13:49,13:59,40
3,6,948,20230922,14:01,14:13,60
3,7,1048,20230922,14:15,14:26,70
3,8,1192,20230922,14:28,14:40,80
3,9,1378,20230922,14:42,14:52,100
4,0,0,20230922,15:29,15:39,0
4,1,34,20230922,15:41,15:51,5
4,2,121,20230922,15:53,16:03,10
4,3,315,20230922,16:05,16:15,20
4,4,492,20230922,16:17,16:27,30
4,5,638,20230922,16:29,16:39,40
4,6,948,20230922,16:41,16:51,60
4,7,1048,20230922,16:53,17:03,70
4,8,1192,20230922,17:05,17:15,80
4,9,1378,20230922,17:17,17:27,100
